City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
384,Shrigonda,IN,77.92,overcast clouds,18.6167,74.6833,Hotel Dnyashwari
385,Kawalu,ID,74.68,overcast clouds,-7.3817,108.2082,West Jontor
386,Raymondville,US,89.71,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
389,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
393,Nishihara,JP,88.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
394,Anaco,VE,76.24,broken clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
395,Gizo,SB,83.73,scattered clouds,-8.103,156.8419,Imagination Island
397,Salinopolis,BR,78.15,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
398,Progreso,MX,78.12,broken clouds,21.2833,-89.6667,Playa Linda Hotel
402,Wukari,NG,70.81,overcast clouds,7.85,9.7833,Elimtop
403,Ptghni,AM,73.36,clear sky,40.2558,44.5841,Avant Garde Hotel
404,Saint Anthony,US,73.92,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
405,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
408,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
410,Fort Nelson,CA,71.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
411,Ponta Do Sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
414,Libreville,GA,77.02,broken clouds,0.3925,9.4537,Le Méridien Re-Ndama
419,Tateyama,JP,86.09,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
420,Ketchikan,US,73.85,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
421,Buluang,PH,81.16,light rain,13.3068,123.3425,Sacueza Beach Resort
424,Cayenne,GF,76.08,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
425,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
428,Porto Nacional,BR,73.4,clear sky,-10.7081,-48.4172,Vila Real Hotel
432,Ternate,ID,82.51,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
436,Ramgarh,IN,78.85,overcast clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
437,Lincoln,US,81.01,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
438,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
440,Lazaro Cardenas,MX,81.73,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
446,Ilheus,BR,76.82,broken clouds,-14.7889,-39.0494,Barravento Hotel
447,Coahuayana,MX,78.53,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
448,Yatou,CN,82.83,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
449,Boyolangu,ID,76.05,overcast clouds,-8.1181,111.8935,Yos ega cv
450,Guerrero Negro,MX,72.75,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
451,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
452,Torbat-E Jam,IR,77.65,few clouds,35.244,60.6225,White building
454,Gongzhuling,CN,72.18,overcast clouds,43.5008,124.8198,如家旅馆
456,Moanda,GA,72.46,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
459,Paranaiba,BR,71.28,clear sky,-19.6772,-51.1908,Villa Rica Park Hotel GMR
461,Meulaboh,ID,74.28,light rain,4.1363,96.1285,Kost Pria
463,Mikhaylovka,RU,72.7,clear sky,50.06,43.2379,5 Komnat
